source name;source type;mapping type;target name;target type;mapping description;source ID;target ID
Industroyer;software;uses;Block Reporting Message;technique;[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001) uses the first COM port from the configuration file for the communication and the other two COM ports are opened to prevent other processes accessing them. This may block processes or operators from getting reporting messages from a device.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Block Serial COM;technique;In [Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001), the first COM port from the configuration file is used for the actual communication and the two other COM ports are just opened to prevent other processes accessing them. Thus, the IEC 101 payload component is able to take over and maintain control of the RTU device.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Brute Force I/O;technique;The [Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001), IEC 104 module has 3 modes available to perform its attack. These modes are range, shift, and sequence. The range mode operates in 2 stages. The first stage of range mode gathers Information Object Addresses (IOA) and sends 'select and execute' packets to switch the state. The second stage of range mode has an infinite loop where it will switch the state of all of the previously discovered IOAs. Shift mode is similar to range mode, but instead of staying within the same range, it will add a shift value to the default range values.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Command-Line Interface;technique;The name of the [Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001) payload DLL is supplied by the attackers via a command line parameter supplied in one of the main backdoor’s 'execute a shell command' commands.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Data Destruction;technique;[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001), has a destructive wiper that 'overwrites all ICS configuration files across the hard drives and all mapped network drives specifically targeting ABB PCM600 configuration files'.(Citation: Dragos Industroyer Jun 2017);;
Industroyer;software;uses;Data Historian Compromise;technique;In [Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001), after pivoting into the ICS environment, the adversary gained [Initial Access](https://collaborate.mitre.org/attackics/index.php/Initial_Access) to devices involved with critical process operations through a Microsoft Windows Server 2003 running a SQL Server.(Citation: Dragos CRASHOVERRIDE Oct 2018);;
Industroyer;software;uses;Denial of Control;technique;[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001) is able to block serial COM channels temporarily causing a denial of control.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Denial of Service;technique;The [Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001), SIPROTEC DoS module exploits the CVE-2015-5374 vulnerability in order to render a Siemens SIPROTEC device unresponsive. Once this vulnerability is successfully exploited, the target device stops responding to any commands until it is rebooted manually.(Citation: ESET Win32/Industroyer Jun 2017)Once the tool is executed it sends specifically crafted packets to port 50,000 of the target IP addresses using UDP. The UDP packet contains the following 18 byte payload: 0x11 49 00 00 00 00 00 00 00 00 00 00 00 00 00 00 28 9E.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Denial of View;technique;[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001) is able to block serial COM channels temporarily causing a denial of view.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Device Restart/Shutdown;technique;The [Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001), SIPROTEC DoS module exploits the CVE-2015-5374 vulnerability in order to render a Siemens SIPROTEC device unresponsive. Once this vulnerability is successfully exploited, the target device stops responding to any commands until it is rebooted manually.(Citation: ESET Win32/Industroyer Jun 2017)Once the tool is executed it sends specifically crafted packets to port 50,000 of the target IP addresses using UDP. The UDP packet contains the following 18 byte payload: 0x11 49 00 00 00 00 00 00 00 00 00 00 00 00 00 00 28 9E.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Loss of Control;technique;[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001)'s data wiper component removes the registry 'image path' throughout the system and overwrites all files, rendering the system unusable.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Loss of Protection;technique;[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001)contained a module which leveraged a vulnerability in the Siemens SIPROTEC relays (CVE-2015-5374) to create a Denial of Service against automated protective relays.(Citation: Dragos CRASHOVERRIDE October 2018);;
Industroyer;software;uses;Loss of Safety;technique;[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001)contained a module which leveraged a vulnerability in the Siemens SIPROTEC relays (CVE-2015-5374) to create a Denial of Service against automated protective relays.(Citation: Dragos CRASHOVERRIDE Oct 2018);;
Industroyer;software;uses;Loss of View;technique;[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001)'s data wiper component removes the registry 'image path' throughout the system and overwrites all files, rendering the system unusable.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Manipulation of Control;technique;[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001) toggles breakers to the open state utilizing unauthorized command messages.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Manipulation of View;technique;[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001)'s OPC module can brute force values and will send out a 0x01 status which for the target systems equates to a 'Primary Variable Out of Limits' misdirecting operators from understanding protective relay status.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Masquerading;technique;[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001), modules operate by inhibiting the normal SCADA master communication functions and then activate a replacement master communication module managed by the malware, which executes a script of commands to issue normal protocol messages.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Network Connection Enumeration;technique;[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001), contains an IEC 61850 module that enumerates all connected network adapters to determine their TCP/IP subnet masks.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Remote System Discovery;technique;The [Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001), IEC 61850 payload enumerates all possible IP addresses for each of the subnet masks for the interfaces on the infected machine, and tries to connect to port 102 on each of those addresses. Therefore, this component has the ability to discover relevant devices in the network automatically.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Remote System Information Discovery;technique;The [Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001) IEC 61850 component_sends the domain-specific MMS_getNameList_request to determine what logical nodes the device supports. It then searches the logical nodes for the “CSW” value, which indicates the device performs a circuit breaker or switch control function.(Citation: ESET Win32/Industroyer June 2017);;
Industroyer;software;uses;Remote System Information Discovery;technique;[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001) s OPC DA module also uses IOPCBrowseServerAddressSpace to look for items with the following strings: 'ctlSelOn', 'ctlOperOn', 'ctlSelOff', 'ctlOperOff', 'Pos and stVal'.(Citation: ESET Win32/Industroyer June 2017);;
Industroyer;software;uses;Service Stop;technique;[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001) has the capability to stop a service itself, or to login as a user and stop a service as that user.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Unauthorized Command Message;technique;The [Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001), IEC 101 module has the capability to communicate with devices (likely RTUs) via the IEC 101 protocol. The module will attempt to find all Information Object Addresses (IOAs) for the device and attempt to change their state in the following sequence: OFF, ON, OFF.(Citation: ESET Win32/Industroyer Jun 2017);;
Killdisk;software;uses;Data Destruction;technique;[KillDisk](https://collaborate.mitre.org/attackics/index.php/Software/S0016) is able to delete system files to make the system unbootable and targets 35 different types of files for deletion.(Citation: ESET BlackEnergy);;
Killdisk;software;uses;Indicator Removal on Host;technique;[KillDisk](https://collaborate.mitre.org/attackics/index.php/Software/S0016) deletes application, security, setup, and system event logs from Windows systems.(Citation: ESET BlackEnergy);;
Killdisk;software;uses;Loss of View;technique;[KillDisk](https://collaborate.mitre.org/attackics/index.php/Software/S0016) erases the master boot record (MBR) and system logs, leaving the system unusable.(Citation: Booz Allen Hamilton);;
Killdisk;software;uses;Service Stop;technique;[KillDisk](https://collaborate.mitre.org/attackics/index.php/Software/S0016) looks for and terminates two non-standard processes, one of which is an ICS application.(Citation: ESET BlackEnergy);;
LockerGoga;software;uses;Loss of Control;technique;Some of Norsk Hydro's production systems were impacted by a [LockerGoga](https://collaborate.mitre.org/attackics/index.php/Software/S0008) infection. This resulted in a loss of control which forced the company to switch to manual operations.(Citation: DoublePulsar LockerGoga)(Citation: Hydro);S0372;
LockerGoga;software;uses;Loss of Productivity and Revenue;technique;While Norsk Hydro attempted to recover from a [LockerGoga](https://collaborate.mitre.org/attackics/index.php/Software/S0008) infection, most of its 160 manufacturing locations switched to manual (non-IT driven) operations. Manual operations can result in a loss of productivity.(Citation: DoublePulsar LockerGoga)(Citation: Hydro);S0372;
LockerGoga;software;uses;Loss of View;technique;Some of Norsk Hydro's production systems were impacted by a [LockerGoga](https://collaborate.mitre.org/attackics/index.php/Software/S0008) infection. This resulted in a loss of view which forced the company to switch to manual operations.(Citation: DoublePulsar LockerGoga)(Citation: Hydro);S0372;
NotPetya;software;uses;Exploitation of Remote Services;technique;[NotPetya](https://collaborate.mitre.org/attackics/index.php/Software/S0006) initially infected IT networks, but by means of an exploit (particularly the SMBv1-targeting MS17-010 vulnerability) spread to industrial networks.(Citation: Dragos Apr 2019);S0368;
NotPetya;software;uses;External Remote Services;technique;[NotPetya](https://collaborate.mitre.org/attackics/index.php/Software/S0006) can utilize exposed SMB services to access industrial networks.(Citation: Dragos Apr 2019);S0368;
NotPetya;software;uses;Lateral Tool Transfer;technique;[NotPetya](https://collaborate.mitre.org/attackics/index.php/Software/S0006) can move laterally through industrial networks by means of the SMB service.(Citation: Dragos Apr 2019);S0368;
NotPetya;software;uses;Loss of Productivity and Revenue;technique;[NotPetya](https://collaborate.mitre.org/attackics/index.php/Software/S0006) disrupted manufacturing facilities supplying vaccines, resulting in a halt of production and the inability to meet demand for specific vaccines.(Citation: Bloomberg Dec 2019);S0368;
PLC-Blaster;software;uses;Change Operating Mode;technique;[PLC-Blaster](https://collaborate.mitre.org/attackics/index.php/Software/S0009) stops the execution of the user program on the target to enable the transfer of its own code. The worm then copies itself to the target and subsequently starts the target PLC again.(Citation: BlackHat Mar 2016);;
PLC-Blaster;software;uses;Denial of Service;technique;The execution on the PLC can be stopped by violating the cycle time limit. The [PLC-Blaster](https://collaborate.mitre.org/attackics/index.php/Software/S0009) implements an endless loop triggering an error condition within the PLC with the impact of a DoS.(Citation: BlackHat Mar 2016);;
PLC-Blaster;software;uses;Execution through API;technique;[PLC-Blaster](https://collaborate.mitre.org/attackics/index.php/Software/S0009) utilizes the PLC communication and management API to load executable Program Organization Units.(Citation: BlackHat Mar 2016);;
PLC-Blaster;software;uses;Manipulate I/O Image;technique;[PLC-Blaster](https://collaborate.mitre.org/attackics/index.php/Software/S0009) may manipulate any outputs of the PLC. Using the POU POKE any value within the process image may be modified.(Citation: BlackHat Mar 2016);;
PLC-Blaster;software;uses;Modify Controller Tasking;technique;[PLC-Blaster](https://collaborate.mitre.org/attackics/index.php/Software/S0009) adds to the user program already running on the target PLC. An additional OB, OB9999. The original code on the target is untouched. The OB is automatically detected by the PLC and executed.(Citation: BlackHat Mar 2016);;
PLC-Blaster;software;uses;Modify Program;technique;[PLC-Blaster](https://collaborate.mitre.org/attackics/index.php/Software/S0009) copies itself to various Program Organization Units (POU) on the target device. The POUs include the Data Block, Function, and Function Block.(Citation: BlackHat Mar 2016);;
PLC-Blaster;software;uses;Native API;technique;[PLC-Blaster](https://collaborate.mitre.org/attackics/index.php/Software/S0009) uses the system function blocks TCON and TDISCON to initiate and destroy TCP connections to arbitrary systems. Buffers may be sent and received on these connections with TRCV und TSEND system function blocks.(Citation: BlackHat Mar 2016);;
PLC-Blaster;software;uses;Program Download;technique;[PLC-Blaster](https://collaborate.mitre.org/attackics/index.php/Software/S0009) utilizes the PLC communication and management API to load executable Program Organization Units.(Citation: BlackHat Mar 2016);;
PLC-Blaster;software;uses;Remote System Discovery;technique;[PLC-Blaster](https://collaborate.mitre.org/attackics/index.php/Software/S0009) scans the network to find other Siemens S7 PLC devices to infect. It locates these devices by checking for a service listening on TCP port 102.(Citation: BlackHat Mar 2016);;
Ryuk;software;uses;Loss of Productivity and Revenue;technique;An enterprise resource planning (ERP) manufacturing server was lost to the [Ryuk](https://collaborate.mitre.org/attackics/index.php/Software/S0011) attack. The manufacturing process had to rely on paper and existing orders to keep the shop floor open.(Citation: DarkReading);S0446;
Stuxnet;software;uses;Commonly Used Port;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) attempts to contact command and control servers on port 80 to send basic information about the computer it has compromised.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Damage to Property;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) attacks were designed to over-pressure and damage centrifuge rotors by manipulating process pressure and rotor speeds over time. One focused on a routine to change centrifuge rotor speeds, while the other manipulated critical resonance speeds to over-pressure them.(Citation: Langner Nov 2013);;
Stuxnet;software;uses;Engineering Workstation Compromise;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) utilized an engineering workstation as the initial access point for PLC devices.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Execution through API;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) utilizes the PLC communication and management API to load executable [Program Organization Units](https://collaborate.mitre.org/attackics/index.php/Technique/T844).(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Hooking;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) modifies the Import Address Tables DLLs to hook specific APIs that are used to open project files.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;I/O Image;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) copies the input area of an I/O image into data blocks with a one second interval between copies, forming a 21 second recording of the input area. The input area contains information being passed to the PLC from a peripheral. For example, the current state of a valve or the temperature of a device.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Man in the Middle;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) de-couples all inputs and signals from the legitimate code on a PLC and chooses what is passed to the original code. STUXNET effectively creates a man in the middle attack with the input and output signals and control logic.;;
Stuxnet;software;uses;Manipulate I/O Image;technique;When the peripheral output is written to, sequence C intercepts the output and ensures it is not written to the process image output. The output is the instructions the PLC sends to a device to change its operating behavior. By intercepting the peripheral output, [Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) prevents an operator from noticing unauthorized commands sent to the peripheral.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Manipulation of Control;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) can reprogram a PLC and change critical parameters in such a way that legitimate commands can be overridden or intercepted. In addition, [Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010#scite-b3a32e169ec1545f620839e1471333e0) can apply inappropriate command sequences or parameters to cause damage to property.;;
Stuxnet;software;uses;Manipulation of View;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) manipulates the view of operators replaying process input and manipulating the I/O image to evade detection and inhibit protection functions.(Citation: Langner Nov 2013)(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Masquerading;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) renames a dll responsible for handling communications with a PLC. It replaces the original .dll file with its own version that allows it to intercept any calls that are made to access the PLC.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Modify Controller Tasking;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) infects OB1 so that the its malicious code sequence is executed at the start of a cycle. It also infects OB35. OB35 acts as a watchdog, and on certain conditions, it can stop the execution of OB1.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Modify Parameter;technique;In states 3 and 4 [Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) sends two network bursts (done through the DP_SEND primitive). The data in the frames are instructions for the frequency converter drives. For example one of the frames contains records that change the maximum frequency (the speed at which the motor will operate). The frequency converter drives consist of parameters, which can be remotely configured via Profibus. One can write new values to these parameters changing the behavior of the device.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Modify Program;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) infects PLCs with different code depending on the characteristics of the target system. An infection sequence consists of code blocks and data blocks that will be downloaded to the PLC to alter its behavior.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Monitor Process State;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) examines fields recorded by the DP_RECV monitor to determine if the target system is in a particular state of operation.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Native API;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) calls system function blocks which are part of the operating system running on the PLC. They’re used to execute system tasks, such as reading the system clock (SFC1) and generating data blocks on the fly.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Network Sniffing;technique;DP_RECV is the name of a standard function block used by network coprocessors. It is used to receive network frames on the Profibus – a standard industrial network bus used for distributed I/O. The original block is copied to FC1869, and then replaced by a malicious block. Each time the function is used to receive a packet, the malicious Stuxnet block takes control: it will call the original DP_RECV in FC1869 and then perform postprocessing on the packet data. The replaced DP_RECV block (later on referred to as the “DP_RECV monitor”) is meant to monitor data sent by the frequency converter drives to the 315-2 CPU via CP 342-5 Profibus communication modules.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Program Download;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) infects PLCs with different code depending on the characteristics of the target system. An infection sequence consists of code blocks and data blocks that will be downloaded to the PLC to alter its behavior.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Program Upload;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) replaces the DLL responsible for reading projects from a PLC to the step7 software. This allows Stuxnet the ability to upload a program from the PLC.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Project File Infection;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) copies itself into Step 7 projects in such a way that it automatically executes when the Step 7 project is loaded.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Remote System Information Discovery;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) enumerates and parses the System Data Blocks (SDB) using the s7blk_findfirst and s7blk_findnext API calls in s7otbxdx.dll. Stuxnet must find an SDB with the DWORD at offset 50h equal to 0100CB2Ch. This specifies that the system uses the Profibus communications processor module CP 342-5. In addition, specific values are searched for and counted: 7050h and 9500h. 7050h is assigned to part number KFC750V3 which appears to be a frequency converter drive (also known as variable frequency drive) manufactured by Fararo Paya in Teheran, Iran. 9500h is assigned to Vacon NX frequency converter drives manufactured by Vacon based in Finland.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Remote System Information Discovery;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) was specifically targeting CPUs 6ES7-315-2 (Series 300) with special system data block characteristics for sequence A or B and 6ES7-315-2 for sequence C. The PLC type can also be checked using the s7ag_read_szl API.(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Replication Through Removable Media;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) was able to self-replicate by being spread through removable drives. A willing insider or unknown third party, such as a contractor, may have brought the removable media into the target environment.(Citation: Wired W32.Stuxnet Feb 2011) The earliest version of Stuxnet relied on physical installation, infecting target systems when an infected configuration file carried by a USB stick was opened.(Citation: Langner Nov 2013);;
Stuxnet;software;uses;Rootkit;technique;One of [Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) 's rootkits is contained entirely in the fake s7otbxdx.dll. In order to continue existing undetected on the PLC it needs to account for at least the following situations: read requests for its own malicious code blocks, read requests for infected blocks (OB1, OB35, DP_RECV), and write requests that could overwrite Stuxnet’s own code. Stuxnet contains code to monitor and intercept these types of requests. The rootkit modifies these requests so that Stuxnet’s PLC code is not discovered or damaged.(Citation: Langer Nov 2013);;
Stuxnet;software;uses;Rootkit;technique;When the peripheral output is written to, sequence C of[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) intercepts the output and ensures it is not written to the process image output. The output is the instructions the PLC sends to a device to change its operating behavior. By intercepting the peripheral output, Stuxnet prevents an operator from noticing unauthorized commands sent to the peripheral(Citation: Wired W32.Stuxnet Feb 2011);;
Stuxnet;software;uses;Standard Application Layer Protocol;technique;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) attempts to contact command and control servers over HTTP to send basic information about the computer it has compromised.(Citation: Wired W32.Stuxnet Feb 2011);;
Triton;software;uses;Change Operating Mode;technique;[Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013) is able to modify code if the Triconex SIS Controller is configured with the physical keyswitch in ‘program mode’ during operation. If the controller is placed in Run mode (program changes not permitted), arbitrary changes in logic are not possible substantially reducing the likelihood of manipulation. Once the Triton implant is installed on the SIS it is able to conduct any operation regardless of any future position of the keyswitch.(Citation: FireEye TRITON Dec 2017);;
Triton;software;uses;Commonly Used Port;technique;[Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013) framework can communicate with the implant utilizing the TriStation 'get main processor diagnostic data' command and looks for a specifically crafted packet body from which it extracts a command value and its arguments.(Citation: Midnight Blue Labs TRITON Jan 2018);;
Triton;software;uses;Detect Operating Mode;technique;[Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013) contains a file named TS_cnames.py which contains default definitions for key state (TS_keystate). Key state is referenced in TsHi.py.(Citation: MDudek-ICS TRISIS-TRITON-HATMAN);;
Triton;software;uses;Engineering Workstation Compromise;technique;[Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013) malware gained remote access to an SIS engineering workstation.(Citation: FireEye TRITON Dec 2017);;
Triton;software;uses;Execution through API;technique;[Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013) leverages a reconstructed TriStation protocol within its framework to trigger APIs related to program download, program allocation, and program changes.(Citation: Midnight Blue Labs TRITON Jan 2018);;
Triton;software;uses;Exploitation for Evasion;technique;[Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013) disables a firmware RAM/ROM consistency check, injects a payload (imain.bin) into the firmware memory region, and changes a jumptable entry to point to the added code(Citation: DHS CISA MAR-17-351-01 HatMan Feb 2019)(Citation: CISA Advisory (ICSA-18-107-02) Dec 2018)(Citation: Schneider Electric TRITON Jan 2018)In Schneider Electric Triconex Tricon MP model 3008 firmware versions 10.0-10.4, system calls read directly from memory addresses within the control program area without any verification. Manipulating this data could allow adversary data to be copied anywhere within memory.(Citation: MITRE CVE-2018-8872 May 2018)(Citation: CWE-119 Jan 2019)Triconex systems include continuous means of detection including checksums for firmware and program integrity, memory and memory reference integrity, and configuration.(Citation: NRC Triconex);;
Triton;software;uses;Exploitation for Privilege Escalation;technique;[Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013)leverages a previously-unknown vulnerability affecting Tricon MP3008 firmware versions 10.0–10.4 allows an insecurely-written system call to be exploited to achieve an arbitrary 2-byte write primitive, which is then used to gain supervisor privileges.(Citation: CISA MAR-17-352-01 February 2019);;
Triton;software;uses;Indicator Removal on Host;technique;[Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013) would reset the controller to the previous state over TriStation and if this failed it would write a dummy program to memory in what was likely an attempt at anti-forensics.(Citation: Midnight Blue Labs TRITON Jan 2018);;
Triton;software;uses;Loss of Safety;technique;[Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013) has the capability to reprogram the SIS logic to allow unsafe conditions to persist or reprogram the SIS to allow an unsafe state – while using the DCS to create an unsafe state or hazard.(Citation: FireEye TRITON Dec 2017);;
Triton;software;uses;Masquerading;technique;The [Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013), malware was configured to masquerade as trilog.exe, which is the Triconex software for analyzing SIS logs.(Citation: FireEye TRITON Dec 2017);;
Triton;software;uses;Modify Controller Tasking;technique;[Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013)'s 'argument-setting' and inject.bin shellcode are added to the program table on the Tricon so that they are executed by the firmware once each cycle.(Citation: CISA MAR-17-352-01 February 2019)(Citation: Midnight Blue Labs Triton January 2018);;
Triton;software;uses;Native API;technique;[Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013)'s imain.bin payload takes commands from the TsHi.ExplReadRam(Ex), TsHi.ExplWriteRam(Ex) and TsHi.ExplExec functions to perform operations on controller memory and registers using syscalls written in PowerPC shellcode.(Citation: Midnight Blue Labs Triton January 2018);;
Triton;software;uses;Program Download;technique;[Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013) leveraged the TriStation protocol to download programs onto Triconex Safety Instrumented System.(Citation: Midnight Blue Labs TRITON Jan 2018);;
Triton;software;uses;Remote System Discovery;technique;[Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013) uses a Python script that is capable of detecting Triconex controllers on the network by sending a specific UDP broadcast packet over port 1502.(Citation: DHS CISA MAR-17-351-01 HatMan Feb 2019);;
Triton;software;uses;Scripting;technique;In the version of [Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013)available at the time of publication, the component that programs the Triconex controllers is written entirely in Python. The modules that implement the communciation protocol and other supporting components are found in a separate file -- library.zip -- which the main script that employs this functionality is compiled into a standalone Windows executable -- trilog.exe -- that includes a Python environment.(Citation: DHS CISA MAR-17-351-01 HatMan Feb 2019);;
Triton;software;uses;Scripting;technique;"A Python script seen in [Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013) communicates using four Python modules—TsBase, TsLow, TsHi, and TS_cnames—that collectively implement the TriStation network protocol ('TS', via UDP 1502); this is the protocol that the TriStation TS1131 software uses to communicate with Triconex safety PLCs.(Citation: DHS CISA MAR-17-351-01 HatMan Feb 2019)";;
Triton;software;uses;System Firmware;technique;The malicious shellcode [Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013) uses is split into two separate pieces -- inject.bin and imain.bin. The former program is more generic code that handles injecting the payload into the running firmware, while the latter is the payload that actually performs the additional malicious functionality. The payload --imain.bin-- is designed to take a TriStation protocol get main processor diagnostic data command, look for a specially crafted packet body, and perform custom actions on demand. It is able to read and write memory on the safety controller and execute code at an arbitrary address within the firmware. In addition, if the memory address it writes to is within the firmware region, it disables address translation, writes the code at the provided address, flushes the instruction cache, and re-enables address translation. This allows the malware to make changes to the running firmware in memory. This allows Triton to change how the device operates and would allow for the modification of other actions that the Triton controller might make.(Citation: DHS CISA MAR-17-351-01 HatMan Feb 2019);;
Triton;software;uses;Unauthorized Command Message;technique;Using [Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013), an adversary can manipulate the process into an unsafe state from the DCS while preventing the SIS from functioning appropriately.(Citation: FireEye TRITON Dec 2017);;
VPNFilter;software;uses;Network Sniffing;technique;The [VPNFilter](https://collaborate.mitre.org/attackics/index.php/Software/S0002) packet sniffer looks for basic authentication as well as monitors ICS traffic, and is specific to the TP-LINK R600-VPN. The malware uses a raw socket to look for connections to a pre-specified IP address, only looking at TCP packets that are 150 bytes or larger. Packets that are not on port 502, are scanned for BasicAuth, and that information is logged. This may have allowed credential harvesting from communications between devices accessing a modbus-enabled HMI.(Citation: Talos VPNFilter Jun 2018)(Citation: VPNFilter Deep Dive Mar 2019);;
