KSAID,Description,Withdrawn?,CISSP,ISSAP,ISSEP,ISSMP,SSCP,CAP,CSSLP,HCISPP,CCSP
K0514,Knowledge of organizational structures and associated intelligence capabilities.,,1.2.2, , , , , , , , 
K0515,"WITHDRAWN: Knowledge of OSI model and underlying networking protocols (e.g., TCP/IP).",X, ,X, ,X,X, , , ,X
K0516,"Knowledge of physical and logical network devices and infrastructure to include hubs, switches, routers, firewalls, etc.",,"4,2","2, 3",3,"2,2","2, 6", ,3.2.5,6,"1.3.4, 3.1.1, 3.1.2, 3.2"
K0517,Knowledge of post implementation review (PIR) approval process.,,1.2.1, ,3,1.10., , , ,2.3.3, 
K0518,Knowledge of planning activity initiation.,,1.2.2, ,3,1.10., , , , , 
K0519,"Knowledge of planning timelines adaptive, crisis action, and time-sensitive planning.",,"7,7", , ,"4.2, 5.1", , , ,2.3.3, 
K0520,"Knowledge of principles and practices related to target development such as target knowledge, associations, communication systems, and infrastructure.",,6.2.2, , , , , , , , 
K0521,"Knowledge of priority information, how it is derived, where it is published, how to access, etc.",,"2,1", , , , , , ,"5.2.1, 5.3.4","1.3.2, 2.6.1"
K0522,Knowledge of production exploitation and dissemination needs and architectures. ,,6.2.2, , ,"2.2, 2.3, 3.2", , , , , 
K0523,"Knowledge of products and nomenclature of major vendors (e.g., security suites - Trend Micro, Symantec, McAfee, Outpost, and Panda) and how those products affect exploitation and reduce vulnerabilities.",,"3,3","2, 3, 6", ,"2,2","7.2, 7.3", ,3.2.2,"1.2.1, 6.1.7, 7",1.4.4
K0524,"Knowledge of relevant laws, regulations, and policies.",,"1,4",4, ,"4.2, 6, 6.2","3.3.4, 4.2.1, 5.2.4, 7.3.4", ,6.9.2,"2.3, 4.2.2","1.5.1, 2.7, 6"
K0525,Knowledge of required intelligence planning products associated with cyber operational planning.,,"3,3", , , , , , ,6, 
K0526,Knowledge of research strategies and knowledge management.,,"1,9", , , , , , ,4.1.6, 
K0527,Knowledge of risk management and mitigation strategies.,,"1,9","4, 4.2",2,"1.7.2, 2.3.4, 3","3, 3.1", ,6.9.4,6,6
K0528,Knowledge of satellite-based communication systems.,,4.2.2,"2, 3", , , , ,3.2.5,6, 
K0529,Knowledge of scripting,,"3,4", , , , , ,3.7.7,6, 
K0530,"Knowledge of security hardware and software options, including the network artifacts they induce and their effects on exploitation.",,"4,2", , ,"2,2","3.2, 7.1", , ,6,"1.1.4, 1.3.4, 3.1.2, 5.2.2, 5.3.7"
K0531,Knowledge of security implications of software configurations.,,8.2.1,4, , ,"3.2, 6.4", ,"3,7",6,4
K0532,"Knowledge of specialized target language (e.g., acronyms, jargon, technical terminology, code words).",,6.2.2, , ,1,"1, 6, 7", , ,6, 
K0533,"Knowledge of specific target identifiers, and their usage.",,6.2.2, , , , , , ,6, 
K0534,"Knowledge of staff management, assignment, and allocation processes.",,1.2.3, , ,"1, 2", , ,"1,1",2.3.3,3.1.6
K0535,Knowledge of strategies and tools for target research.,,6.2.2, , , , , , ,4.1.6, 
K0536,"Knowledge of structure, approach, and strategy of exploitation tools (e.g., sniffers, keyloggers) and techniques (e.g., gaining backdoor access, collecting/exfiltrating data, conducting vulnerability analysis of other systems in the network).",,6.2.2, , ,"2, 3.2, 4.1","3.2, 7, 7.1.2", ,"7,8","5.2.1, 5.2.5, 5.3.4, 6.1.7","1.3.2, 2.4, 2.6.1, 2.8.2, 3.1.2"
K0537,"Knowledge of system administration concepts for the Unix/Linux and Windows operating systems (e.g., process management, directory structure, installed applications, Access Controls).",,"3,5",6, , , ,"3, 3.1, 3.2",3.2.2,"2.3.3, 5.2.1, 5.3.4, 6.1.9, 6.2","1.3.2, 2.4, 2.6.1, 5.2.3, 5.2.6"
K0538,"Knowledge of target and threat organization structures, critical capabilities, and critical vulnerabilities",,"1,10", , , ,"5.3.3, 7.1", ,"3,1","3.1.1, 6.1.6, 6.1.7",1.3.6
K0539,"Knowledge of target communication profiles and their key elements (e.g., target associations, activities, communication infrastructure).",,6.2.2, , , , , , , , 
K0540,Knowledge of target communication tools and techniques.,,6.2.2, , , , , , , , 
K0541,"Knowledge of target cultural references, dialects, expressions, idioms, and abbreviations.",,6.2.2, , , , , , , , 
K0542,"Knowledge of target development (i.e., concepts, roles, responsibilities, products, etc.).",,6.2.2, , , , , , , , 
K0543,Knowledge of target estimated repair and recuperation times.,,6.2.2, , , , , , ,"5.2.9, 5.2.10",1.4.2
K0544,Knowledge of target intelligence gathering and operational preparation techniques and life cycles.,,6.2.2, , , , , , ,"1.3.1, 3.2","1.4.1, 2.1.1"
K0545,Knowledge of target language(s).,,6.2.2, , , , , , , , 
K0546,"Knowledge of target list development (i.e. Restricted, Joint, Candidate, etc.).",,6.2.2, , , , , , ,6, 
K0547,Knowledge of target methods and procedures.,,6.2.2, , , , , , ,2.3.3, 
K0548,Knowledge of target or threat cyber actors and procedures.,,6.2.2, , , , , , ,"2.3.3, 3.1.1, 6.1.6",1.3.6
K0549,Knowledge of target vetting and validation procedures.,,6.2.2, , , , , , ,2.3.3, 
K0550,"Knowledge of target, including related current events, communication profile, actors, and history (language, culture) and/or frame of reference.",,6.2.2, , , , , , ,6, 
K0551,Knowledge of targeting cycles.,,6.2.2, , , , , , ,6, 
K0552,Knowledge of tasking mechanisms.,,6.2.2, , , , , , ,6, 
K0553,Knowledge of tasking processes for organic and subordinate collection assets.,,6.2.2, , , , , , ,2.3.3, 
K0554,"Knowledge of tasking, collection, processing, exploitation and dissemination.",,6.2.2, , , , , , ,2.3.3, 
K0555,Knowledge of TCP/IP networking protocols.,,4.1.1,"2,7", ,"2,2","6,1", , ,6,"1.1.4, 1.3.4, 3.1.2, 5.2.2, 5.3.7"
K0556,Knowledge of telecommunications fundamentals.,,4.1.1,2,"1, 3.2","2,2",5, ,3.2.5,6,"1, 3, 4, 5"
K0557,"Knowledge of terminal or environmental collection (process, objectives, organization, targets, etc.).",,"4,1", , , , , , ,2.3.3, 
K0558,Knowledge of the available tools and applications associated with collection requirements and collection management.,,6.2.2, , , , , , ,3.1.1, 
K0559,"Knowledge of the basic structure, architecture, and design of converged applications.",,3.5.7,6, ,"2,2", , ,3.2.5,6,"1, 2.4, 3, 4, 5"
K0560,"Knowledge of the basic structure, architecture, and design of modern communication networks.",,"4,2","2, 3","3.2, 3.3","2,2",5, ,3.2.5,6,"1.1.4, 1.3.4, 2.4, 3.1.2, 5.2.2, 5.3.7"
K0561,"Knowledge of the basics of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection).",,"7,8","1, 2, 3", ,"2,2","1, 2, 3, 5, 6", , ,5.2.2,"4.6.1, 5.3.7"
K0562,"Knowledge of the capabilities and limitations of new and emerging collection capabilities, accesses and/or processes.",,"7,8", , ,"1, 2", , , ,"2.3.3, 5.2.1, 5.3.4", 
K0563,"Knowledge of the capabilities, limitations and tasking methodologies of internal and external collections as they apply to planned cyber activities.",,"7,8", , ,"1, 2", , , ,"6, 7", 
K0564,"Knowledge of the characteristics of targeted communication networks (e.g., capacity, functionality, paths, critical nodes).",,"4.2, 6.2.2", , ,"1, 2","5, 7", , ,6,3.1.2
K0565,"Knowledge of the common networking and routing protocols (e.g. TCP/IP), services (e.g., web, mail, DNS), and how they interact to provide network communications.",,"4,2","2,7", ,"2,2","6,1", , ,6,"1.1.4, 1.3.4, 3.1.2, 5.2.2, 5.3.7"
K0566,Knowledge of the critical information requirements and how they're used in planning.,,"1.9, 3.3", ,3, , , , ,6, 
K0567,Knowledge of the data flow from collection origin to repositories and tools. ,,"2,2", , , , , , ,1.3.1, 
K0568,Knowledge of the definition of collection management and collection management authority.,,"2,2", , , , , , ,6, 
K0569,"Knowledge of the existent tasking, collection, processing, exploitation and dissemination architecture.",,"2,5", , , , , , ,6, 
K0570,Knowledge of the factors of threat that could impact collection operations.,,"2,5", , , , , , ,"3.1.1, 6.1.5, 6.1.6",1.3.6
K0571,Knowledge of the feedback cycle in collection processes.,,"2,6", , , , , , ,2.3.3, 
K0572,Knowledge of the functions and capabilities of internal teams that emulate threat activities to benefit the organization.,,"1,10", , ,"1, 2", , , ,"3.1.1, 6.1.6",1.3.6
K0573,Knowledge of the fundamentals of digital forensics to extract actionable intelligence.,,7.1.3, , , , , ,"7,8", ,"5,5"
K0574,Knowledge of the impact of language analysis on on-net operator functions.,,7.1.3, , , , , , , , 
K0575,Knowledge of the impacts of internal and external partner staffing estimates.,,"1,8", , ,"1, 2", , , ,"1.2, 7", 
K0576,Knowledge of the information environment.,,"2,1","1, 2, 3, 4, 5, 6","3,3","1, 2", , ,"1,1",6, 
K0577,"Knowledge of the intelligence frameworks, processes, and related systems.",,"2,1", , , , , , ,"2.1, 2.3.3, 4.3", 
K0578,Knowledge of the intelligence requirements development and request for information processes.,,"2,1", , , , , , ,2.3.3, 
K0579,"Knowledge of the organization, roles and responsibilities of higher, lower and adjacent sub-elements.",,1.2.2, ,3.1.2,"1, 2", ,1.1.6,"1,1","6,5", 
K0580,Knowledge of the organization’s established format for collection plan.,,"2,2", , , , , , , , 
K0581,"Knowledge of the organization’s planning, operations and targeting cycles.",,"2,2", , , , , , , , 
K0582,Knowledge of the organizational planning and staffing process.,,1.2.3, , ,"1, 2", , , ,2.3.3, 
K0583,Knowledge of the organizational plans/directives/guidance that describe objectives.,,1.2.1, ,3.1.2, , , , , , 
K0584,Knowledge of the organizational policies/procedures for temporary transfer of collection authority.,,1.2.2, , , , , , ,"2,3","2,7"
K0585,"Knowledge of the organizational structure as it pertains to full spectrum cyber operations, including the functions, responsibilities, and interrelationships among distinct internal elements.",,1.2.3, , , , , , ,6, 
K0586,Knowledge of the outputs of course of action and exercise analysis.,,7.13.1, , , , , , ,6,2.8.2
K0587,"Knowledge of the POC’s, databases, tools and applications necessary to establish environment preparation and surveillance products.",,"7,7", , , , , , ,6, 
K0588,"Knowledge of the priority information requirements from subordinate, lateral and higher levels of the organization.",,"2,1", , , , , ,"1,1", , 
K0589,Knowledge of the process used to assess the performance and impact of operations.,,"1,7", ,"2,1","1, 2", , , ,"2.3.3, 6.1.5","1.2.5, 5.3.4"
K0590,Knowledge of the processes to synchronize operational assessment procedures with the critical information requirement process.,,"1.9, 3.3", , , , , , ,2.3.3, 
K0591,Knowledge of the production responsibilities and organic analysis and production capabilities.,,1.2.2, , , , , , , , 
K0592,Knowledge of the purpose and contribution of target templates.,,6.2.2, , , , , , , , 
K0593,"Knowledge of the range of cyber operations and their underlying intelligence support needs, topics, and focus areas.",,"3,5", , , , , , , , 
K0594,"Knowledge of the relationships between end states, objectives, effects, lines of operation, etc.",,"3,3", , , , , , , , 
K0595,"Knowledge of the relationships of operational objectives, intelligence requirements, and intelligence production tasks.",,"3,3", , , , , , , , 
K0596,Knowledge of the request for information process. ,,"2,2", , , , , ,6.9.2,2.3.3, 
K0597,Knowledge of the role of network operations in supporting and facilitating other organization operations.,,1.2.2,2, , , , , , ,"1, 2, 3, 4, 5"
K0598,"Knowledge of the structure and intent of organization specific plans, guidance and authorizations.",,1.2.1, , , , , , ,2.3.3, 
K0599,"Knowledge of the structure, architecture, and design of modern digital and telephony networks. ",,4.3.1,2,"3.2, 3.3","2,2", , ,3.2.5,6,"2.4, 3.1.2"
K0600,"Knowledge of the structure, architecture, and design of modern wireless communications systems.",,4.1.6,2,"3.2, 3.3","2,2","6,1", ,3.2.5,6,"2.4, 3.1.2"
K0601,Knowledge of the systems/architecture/communications used for coordination.,,1.2.2,2, ,"2,2", , , ,6, 
K0602,Knowledge of collection disciplines and capabilities.,,7.1.1, , , , , ,"7,7",6, 
K0603,Knowledge of the ways in which targets or threats use the Internet.,,"1,10", , ,"2.3, 3.2", , ,"3,1",6.1.6,"1.3.6, 2.2.2"
K0604,Knowledge of threat and/or target systems.,,"1,10", , ,"2.3, 3.2", , ,"3,1","3.1.1, 6.1.6","1.3.6, 2.2.2"
K0605,"Knowledge of tipping, cueing, mixing, and redundancy.",,"1,10", , , , , , ,6, 
K0606,"Knowledge of transcript development processes and techniques (e.g., verbatim, gist, summaries).",,"7,1", , , , , , ,2.3.3, 
K0607,Knowledge of translation processes and techniques.,,"7,1", , , , , , ,2.3.3, 
K0608,"Knowledge of Unix/Linux and Windows operating systems structures and internals (e.g., process management, directory structure, installed applications).",,"3,5",6, , , , ,3.7.8,6,"2.4, 5.2.3"
K0609,Knowledge of virtual machine technologies.,,3.5.6,"4,4", ,"2,2","7,4", ,3.2.7,6,"1.3.4, 3.1.4, 5.2.3, 5.2.6"
K0610,"Knowledge of virtualization products (VMware, Virtual PC).",,3.5.6,"4,4", ,"2,2","7,4", ,3.2.7,6,"1.3.4, 3.1.4, 5.2.3, 5.2.6"
K0611,WITHDRAWN: Integrated into K0131,X, ,X,X,X,X, , , ,X
K0612,Knowledge of what constitutes a “threat” to a network.,,1.10.2,4,"2.3.2, 3.1.6, 3.2.1, 4.1",3,"1, 5.3.3, 7.1", ,"3,1",6.1.6,"1.3.6, 3.3.2"
K0613,"Knowledge of who the organization’s operational planners are, how and where they can be contacted, and what are their expectations.",,1.2.3, , , , , , ,"6,5", 
K0614,"Knowledge of wireless technologies (e.g., cellular, satellite, GSM) to include the basic structure, architecture, and design of modern wireless communications systems.",,4.1.6,"3,3", ,"2,2","6,6", ,3.2.5,6,"2,4"
K0615,Knowledge of privacy disclosure statements based on current laws.,,1.3.2,4, ,"4.2, 6, 6.2","3.3.4, 4.2.1, 5.2.4, 7.3.4","1.2.2, 1.3.2",6.9.2,"4.2.2, 4.3.1, 5.3.3","1.5.1, 6.2"
K0616,"Knowledge of continuous monitoring, its processes, and Continuous Diagnostics and Mitigation (CDM) program activities.",,1.9.10,"2.2, 3.5",4.1.2, ,"3.3, 3.4","3.3, 7", ,"2.3.3, 5.2.4, 6.2, 6.3.4, 6.8"," 5.3.2, 5.3.4, 5.7.2 "
K0617,Knowledge of Automated security control assessments,,"6,1","2.5.3, 4.2.1, 5.2.4, 6.5",3.5.2,"2.3, 3.1.6, 3.2","2.3, 2.5, 3.2","3.3, 7","5,2","6.2, 6.3.4, 6.3.7, 6.4", 
K0618,"Knowledge of hardware asset management and the value of tracking the location and configuration of networked devices and software across departments, locations, facilities and, potentially, supporting business functions.",,"4,2", , ,"2.1, 3.1.4","2,4","1.1.4, 1.2.1, 2.1, 2.1.1, 2.1.2", ,6,"3, 5.4"
K0619,"Knowledge of software asset management and the value of tracking the location and configuration of networked devices and software across departments, locations, facilities and, potentially, supporting business functions.",,"2,1", , ,"2.1, 3.1.4","2,4","1.1.4, 1.2.1, 2.1, 2.1.1, 2.1.2", ,6,"3.1.6, 4, 5.4"
K0620,Knowledge of continuous monitoring technologies and tools.,,"7.3, 7.3.3","2.2, 3.5",4.1.2, ,"3.3, 3.4","3.3, 7", ,"5.2.4, 6.2, 6.3.4, 6.8"," 5.3.2, 5.3.4, 5.7.2 "
K0621,Knowledge of risk scoring.,,"1,9",4,"2,1"," 1.7.2, 2.3.4, 3","3,1","6.3, 6.3.1",5.5.2,6,6
K0622,"Knowledge of controls related to the use, processing, storage, and transmission of data.",,2.5.1,"4,3", , ,"2.4.4, 2.5","3, 3.1, 3.2",4.1.14,"6.1.9, 6.2, 6.4, 7.2.2","2.2, 2.8.2, 3.1.5"
K0623,Knowledge of risk assessment methodologies.,,"1,9","4,2",2.1.4," 1.7.2, 2.3.4, 3","3, 3.1","1, 2, 3, 4, 5, 6, 7",6.9.4,6,6
K0624,Knowledge of Application Security Risks (e.g. Open Web Application Security Project Top 10 list),,"3.6, 8.5","4, 6", ," 1.7.2, 2.3.4, 3","3.2, 7.1","4.1.3, 7.3",4.2.2,6,"4,1"
K0625,Knowledge that patching and software updates are impractical for some networked devices. ,,"7,9",6, ,"2.1.2, 2.1.3, 2.2 3.1.7","2.6.3, 3.1.4",6.3.2,"7,9",6,"1.3.4, 3.1.2, 5.3.3"
K0626,Knowledge of secure update mechanisms.,,"7,9",6, ,"2.1.2, 2.1.3, 2.2 3.1.7","2.6.3, 7.1.4", ,"7,9",6, 
K0627,Knowledge of the importance of ingress filtering to protect against automated threats that rely on spoofed network addresses.,,"7,8","2, 3, 4", ,"2.1.2, 2.1.3, 2.2 3.1.7","6.2, 6.5, 7", , ,6.1.6,"1.3.4, 1.3.6"
K0628,"Knowledge of cyber competitions as a way of developing skills by providing hands-on experience in simulated, real-world situations.",,"1,12", , ,"2.1.2, 2.1.3, 2.2 3.1.7","3.2, 7.1", , ,6, 
K0629,Knowledge of white/black listing,,"3,3","1, 2, 3", ,"2.1.2, 2.1.3, 2.2 3.1.7","7.1.2, 7.2.3",4,7.4.4,6, 
K0630,"Knowledge of the latest intrusion techniques, methods and documented intrusions external to the organization.",,6.2.2,2.2.1, ,"2.1.2, 2.1.3, 2.2 3.1.7","3.2, 6.5, 7.2","4,5,7","3,1",6,"5.3.7, 5.7.2"
,,, , , , , , , , , 
Skills,,, , , , , , , , , 
S0001,Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems.,,6.2.1,"4.2, 6.5",3.5.1, ,"3.2, 5.3.3, 7.1","5.2, 5.2.1, 7.2.2, 7.3","3,1","5.2.5, 6.1.7", 
S0002,Skill in allocating storage capacity in the design of data management systems.,,"7,10","4,3", , , , , ,7.2.2,"2.2, 2.8.2, 3.1.5"
S0003,"Skill of identifying, capturing, containing, and reporting malware.",,"7,8", , , ,"4, 7","5.2, 7.3", ,6, 
S0004,Skill in analyzing network traffic capacity and performance characteristics.,,"4,1",2, , ,"4.1.2, 6.5", , ,1.3.2,"1.2.5, 1.3.4, 3.1.2, 5.3.4"
S0005,Skill in applying and incorporating information technologies into proposed solutions.,,"4,1","1, 2, 3, 5, 6","3,4", , , , , , 
S0006,"Skill in applying confidentiality, integrity, and availability principles.",,"1,1","1, 2, 3, 5, 6",1,"1, 2","2,2","1.2.1, 1.2.2, 2.2.2","1,1",3.1.1, 
S0007,"Skill in applying host/network access controls (e.g., access control list).",,"4,1","2, 3", , ,6.4.2,"3, 3.1, 3.2", ,"5.2.1, 5.3.4, 6.1.9, 6.2, 6.4","1.3.2, 1.3.4, 2.6.1, 3.1.2"
S0008,Skill in applying organization-specific systems analysis principles and techniques.,,"3,3", , , ,"4.1.2, 6.5", , , , 
S0009,WITHDRAWN: Skill in assessing the robustness of security systems and designs. (See S0027),X, ,X,X,X,X, , , ,X
S0010,Skill in conducting capabilities and requirements analysis.,,"6,1","2.1, 3.1, 6.3","3,2", , , ,"2,1", , 
S0011,Skill in conducting information searches.,,"6,1", , , , , , , , 
S0012,"Skill in conducting knowledge mapping (e.g., map of knowledge repositories).",,"6,1", , , , , , , , 
S0013,Skill in conducting queries and developing algorithms to analyze data structures.,,"8,3", , , , , , , ,"2,4"
S0014,Skill in conducting software debugging.,,8.1.1,6, , ,2.6.3, ,"4,9", ,"4,4"
S0015,Skill in conducting test events.,,8.1.1, ,3.4.1, ,"3.2, 7.1.2","4.2.3, 5.1.5","5,2",6,2.8.1
S0016,Skill in configuring and optimizing software.,,"6,1",6, , ,"2,4", ,"7,4",6,4
S0017,Skill in creating and utilizing mathematical or statistical models.,,"6,1",5, , , , , , , 
S0018,Skill in creating policies that reflect system security objectives.,,"1,6","2.2.2, 2.5, 2.7.4",1.1.2,"1,4",2.5.3, ,"2,1","2,3", 
S0019,"Skill in creating programs that validate and process multiple inputs including command line arguments, environmental variables, and input streams.",,8.1.1, , , , , ,4.8.2, , 
S0020,Skill in developing and deploying signatures.,,"7,8", , , , , ,4.8.1, , 
S0021,"Skill in designing a data analysis structure (i.e., the types of data a test must generate and how to analyze that data).",,"6,1", , , , , ,"5,2", ,"2.4, 2.8.2"
S0022,Skill in designing countermeasures to identified security risks.,,"1,9","1, 2, 3, 5, 6",2," 1.7.2, 2.3.4, 3","4.1.6, 6.2, 7.1.2, 7.1.4 7.4.5", ,"3,1",6,"3,3"
S0023,Skill in designing security controls based on cybersecurity principles and tenets.,,"3,3","1, 2, 3, 5, 6",3,"1, 2","1.1, 1.4, 2.3, 2.5, 6.3","3, 3.1, 3.2","3,1","6.1.9, 6.2, 6.4", 
S0024,Skill in designing the integration of hardware and software solutions.,,"3,1","1, 2, 3, 5, 6","3,4","1, 2","2.5, 6.5", ,"4,7",5.4.2,"3, 4"
S0025,"Skill in detecting host and network based intrusions via intrusion detection technologies (e.g., Snort).",,7.8.2,3, , ,"3.3, 4.1.2, 6.5", , , ,"1.3.4, 5.3.7, 5.7.2"
S0026,Skill in determining an appropriate level of test rigor for a given system.,,"6,1", ,"3, 3.5.1, 5.3.8", ,"3,2", ,"5,2", , 
S0027,"Skill in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes.",,"6,1","2, 4",2.2.4, , , ,"3,7",5.4.1, 
S0028,Skill in developing data dictionaries.,,3.5.3, , ,"1,4", , ,3.7.6, , 
S0029,Skill in developing data models.,,3.5.3, , ,"1,4", , ,"3,5", , 
S0030,Skill in developing operations-based testing scenarios.,,"6,1", ,"5.3.8, 5.3.9", ,"3.2, 7.1.2","4.2.3, 5.1.5", ,6, 
S0031,Skill in developing and applying security system access controls.,,"3,3","1.1, 1.2","3,4",1.3.5,"1.1, 1.4, 2.3, 2.5, 6.3","3, 3.1, 3.2", ,"5.2.1, 5.3.4, 6.1.9, 6.2, 6.4","1.3.2, 2.6.1"
S0032,"Skill in developing, testing, and implementing network infrastructure contingency and recovery plans.",,"6,1","2,3", ,"5,1","4.1.5, 4.3","4.2.3, 5.1.5", ,"5.2.9, 5.2.10","1.3.4, 1.4.2"
S0033,Skill in diagnosing connectivity problems.,,"4.1, 4.2", ,"4,2", , , , , , 
S0034,"Skill in discerning the protection needs (i.e., security controls) of information systems and networks.",,"3.1, 3.2, 3.3, 3.4, 3.5",3,3,"2, 3","3.1, 6.3","2, 3", ,"6.1.9, 6.2, 6.4",3.1.2
S0035,Skill in establishing a routing schema.,,4.1.2,2.7.3, , ,6, , ,6, 
S0036,Skill in evaluating the adequacy of security designs.,,"6,1","2.5.3, 4.2.1, 5.2.4, 6.5",3.3.5,"1.3.5, 2.1, 6.4","3.2, 7.1.2", ,"3,4",6,"4,4"
S0037,Skill in generating queries and reports.,,"6,1", ,"3,5","1.6.3, 1.7, 3.2.6, 4.2.7, 6.3.4", , , ,6, 
S0038,"Skill in identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system.",,6.3.3, ,"5.3.8, 5.3.9","1, 2, 3, 4", , ,5.2.2,6,"1.2.5, 5.3.4"
S0039,Skill in identifying possible causes of degradation of system performance or availability and initiating actions needed to mitigate this degradation.,,6.3.3, ,"4,2","1,7","2.2.3, 3.3, 3.4, 4.3 ", ,5.2.2,6.6.1,"1.2.5, 5.3.4"
S0040,"Skill in implementing, maintaining, and improving established network security practices.",,"4,2","2,7","3.4, 4, 5","1.9, 6.3, 6.4", , , ,6,"1.3.4, 3.1.2"
S0041,"Skill in installing, configuring, and troubleshooting LAN and WAN components such as routers, hubs, and switches.",,"4,2","2,7", , ,"6,5", , ,6, 
S0042,"Skill in maintaining databases. (i.e., backup, restore, delete data, transaction log files, etc.).",,3.5.3, , , ,3.2.1, ,3.7.6,5.2.10, 
S0043,"Skill in maintaining directory services. (e.g., Microsoft Active Directory, LDAP, etc.).",,"5,1",1.2.8, , ,"1.1, 1.4, 2.3, 2.5, 6.3", , ,6, 
S0044,Skill in mimicking threat behaviors.,,"6.2.4, 7.8", , , ,7, ,"3,1","3.1.1, 6.1.6",1.3.6
S0045,Skill in optimizing database performance.,,3.5.3, , , , , ,3.7.6,6, 
S0046,"Skill in performing packet-level analysis using appropriate tools (e.g., Wireshark, tcpdump).",,4.1.1,2.2.1, , ,"3.2, 4.1.2, 6.5, 7.1.2", , ,6,2.8.2
S0047,Skill in preserving evidence integrity according to standard operating procedures or national standards.,,7.1.1, , , ,"4,2", ,"7,8","2.3, 3.1.1","1.5.1, 5.5"
S0048,Skill in systems integration testing.,,"6,1","2.5.3, 4.2.1, 5.2.4, 6.5","3,4","2.1, 2.2","3,2", ,4.7.1,5.4.2, 
S0049,Skill in the measuring and reporting of intellectual capital.,,"2,1", , ,6.1.4, , , , , 
S0050,"Skill in design modeling and building use cases (e.g., unified modeling language).",,"3,1","4.2.1, 5","3,3", , , ,"5,1", , 
S0051,Skill in the use of penetration testing tools and techniques.,,6.2.2,5.2.4,3.5.1, ,"3.2, 7.1.2", ,"5,1",6, 
S0052,"Skill in the use of social engineering techniques. (e.g., phishing, baiting, tailgating, etc.).",,6.2.2,2.5.3, , ,"3.2, 7.1.2, 7.1.3", ,"3,1",6, 
S0053,Skill in tuning sensors.,,7.8.2, ,"2.2.2, 4.1.3", , , , ,6, 
S0054,Skill in using incident handling methodologies.,,"7,7","2,6", ,4,"3.3, 4","7,3","7,8","5.3.12, 7.7","5.4.5, 5.7.4"
S0055,Skill in using knowledge management technologies.,,"1,12", , ,"1, 2.2", , , , ,3.1.6
S0056,"Skill in using network management tools to analyze network traffic patterns (e.g., simple network management protocol).",,4.3.4,"2, 2.2.1, 3", , ,"4.1.2, 6.5", , ,6,"1.3.4, 3.1.2"
S0057,Skill in using protocol analyzers.,,7.1.3,"2, 3", , ,"6.3, 6.4, 6.5", , ,6, 
S0058,"Skill in using the appropriate tools for repairing software, hardware, and peripheral equipment of a system.",,"3,4", , , , , , ,"5.2.9, 5.2.10","1.4.2, 3, 4, 5"
S0059,Skill in using Virtual Private Network (VPN) devices and encryption.,,"4.3, 4.3.5",2.7.3, , ,"5, 6.3", , ,"5.2.2, 6","1.3.1, 1.3.4, 2.3.1, 3.1.4"
S0060,"Skill in writing code in a currently supported programming language (e.g., Java, C++).",,8.1.1, , , ,7, ,3.7.7, , 
S0061,Skill in writing test plans.,,"6,1", ,"3,5",1, ,"4.2.3, 5.1.5","5,2",6, 
S0062,Skill in analyzing memory dumps to extract information.,,7.1.3, , , ,7, ,7.8.1, , 
S0063,Skill in collecting data from a variety of cyber defense resources.,,"7,3", , , , , , ,6, 
S0064,Skill in developing and executing technical training programs and curricula.,,"1,12", , ,"1,6", , , ,"5.2.3, 5.3.7", 
S0065,"Skill in identifying and extracting data of forensic interest in diverse media (i.e., media forensics).",,7.1.3, , , , , , , ,"5,5"
S0066,Skill in identifying gaps in technical capabilities.,,"3,3","3,1",5.2.2, , , , ,6.5.3, 
S0067,"Skill in identifying, modifying, and manipulating applicable system components within Windows, Unix, or Linux (e.g., passwords, user accounts, files).",,"3,5",6, , , , ,3.7.8, ,5.2.3
S0068,"Skill in collecting, processing, packaging, transporting, and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data.",,7.1.1, , ,6,"4,2", ,"7,8",6.6.2,"2.8.3, 5.5"
S0069,Skill in setting up a forensic workstation.,,7.1.4, , , , , ,"7,8", ,"5,5"
S0070,Skill in talking to others to convey information effectively.,,7.1.2,"1, 2, 3, 4, 5, 6","1, 2, 3, 4, 5",1, , , ,"6, 7", 
S0071,"Skill in using forensic tool suites (e.g., EnCase, Sleuthkit, FTK).",,7.1.4, , , , , ,"7,8", ,"5,5"
S0072,Skill in using scientific rules and methods to solve problems.,,7.1.3, , , , , , , , 
S0073,"Skill in using virtual machines. (e.g., Microsoft Hyper-V, VMWare vSphere, Citrix XenDesktop/Server, Amazon Elastic Compute Cloud, etc.).",,3.5.6,"4,4", , ,"7,4", ,3.7.4,6,"5,2"
S0074,Skill in physically disassembling PCs.,,7.6.2, , , , , , , , 
S0075,"Skill in conducting forensic analyses in multiple operating system environments (e.g., mobile device systems).",,"7,2", , , , , ,"7,8", ,"5,5"
S0076,"Skill in configuring and utilizing software-based computer protection tools (e.g., software firewalls, antivirus software, anti-spyware).",,"7,8","3,4", , ,"6.5, 7.2", , ,6,4
S0077,Skill in securing network communications.,,"4,3",3, ,"1, 2","6, 7",4, ,6,"3, 4, 5"
